epoch;acc;loss;val_acc;val_loss
0;0.7152;0.5696411279559136;0.7135;0.5316689932346343
1;0.7603;0.5268531168043613;0.771;0.47230121278762816
2;0.76155;0.5358505441546441;0.792;0.47200788140296934
3;0.76425;0.5500469543099403;0.7705;0.4761221210956573
4;0.76425;0.5340031475305558;0.801;0.44957841575145724
5;0.76605;0.5658116420507431;0.805;0.4456085081100464
6;0.76215;0.5748842061161995;0.7785;0.5100793428421021
7;0.7621;0.6917150673270226;0.812;0.6158680549860001
8;0.769;0.5887961181879043;0.7885;0.5057544009685516
9;0.7699;0.576061575114727;0.805;0.46127784478664396
10;0.7668;0.6301182270884513;0.6795;0.5990999739170074
11;0.7725;0.5403612604022026;0.789;0.5308814746141434
12;0.7736;0.5883074199795723;0.797;0.5143869435787201
13;0.77405;0.6605377967953682;0.795;0.43050382208824156
14;0.77655;0.7148313333630562;0.7665;0.4997386076450348
15;0.77955;0.7040686429977417;0.783;0.6881638867855072
16;0.7658;0.9100537339031697;0.8055;0.6012974072694779
17;0.76985;0.7099909582674503;0.7765;0.6484939901828766
18;0.77295;0.6837281077563763;0.7975;0.4498175985813141
19;0.7675;0.5951958561122418;0.7165;0.6379931175708771
20;0.7702;0.7929727520689368;0.767;0.7514761091470719
21;0.77295;0.6791195054352284;0.808;0.5374163772463798
22;0.76895;0.6742982357293368;0.769;0.5168506946563721
23;0.77105;0.7548753683030606;0.791;0.5278227284550667
24;0.7683;0.7797569117307663;0.746;0.5677099920511246
25;0.7695;0.7312934602886438;0.7625;0.5934128419160843
26;0.7708;0.6129855363309383;0.779;0.9603768786191941
27;0.7664;0.7382077387660742;0.7985;0.6835126594305039
28;0.7653;0.7629350206077099;0.7345;0.5878227949142456
29;0.7591;0.854426217186451;0.674;0.5447428752183914
30;0.76385;0.7536345920443535;0.7475;0.6499227863550187
31;0.5643;6.055482283461094;0.5;8.059047763824463
32;0.49975;8.062681924057006;0.5;8.059047752380371
33;0.4993;8.069864783096314;0.5;8.059047763824463
34;0.50065;8.048368923568725;0.5;8.059047737121581
35;0.5005;8.050689988708497;0.5;8.059047756195069
36;0.50065;8.048342575454711;0.5;8.059047779083253
37;0.4998;8.061867234802246;0.5;8.059047771453857
38;0.4996;8.065143564605712;0.5;8.059047748565673
39;0.50035;8.053098918151855;0.5;8.059047733306885
40;0.50075;8.046695609283447;0.5;8.059047740936279
41;0.5007;8.047483950424194;0.5;8.059047721862793
42;0.5001;8.057075738525391;0.5;8.059047744750977
43;0.5001;8.05717237586975;0.5;8.059047760009765
44;0.50035;8.053098918533324;0.5;8.059047763824463
45;0.49995;8.05952858772278;0.5;8.059047782897949
46;0.49995;8.05950223083496;0.5;8.059047760009765
47;0.49985;8.061087697219849;0.5;8.059047763824463
48;0.5008;8.045836993408203;0.5;8.059047737121581
49;0.4991;8.073149892044068;0.5;8.05904776763916
50;0.50005;8.057925549697876;0.5;8.059047721862793
51;0.49985;8.061078898620606;0.5;8.05904776763916
52;0.49965;8.064337657546996;0.5;8.059047752380371
53;0.49975;8.062699495315552;0.5;8.059047782897949
54;0.5004;8.052328156280518;0.5;8.059047725677491
55;0.50005;8.057864067840576;0.5;8.059047752380371
56;0.4999;8.060360842514038;0.5;8.059047737121581
57;0.4997;8.063566892623902;0.5;8.059047805786133
58;0.50025;8.054693175888062;0.5;8.05904779434204
59;0.4999;8.060308142852783;0.5;8.059047752380371
60;0.5002;8.055455131530762;0.5;8.059047771453857
61;0.4991;8.07313232269287;0.5;8.059047740936279
62;0.5;8.058713890075683;0.5;8.059047744750977
63;0.49955;8.065931893539428;0.5;8.059047782897949
64;0.50015;8.056322548294068;0.5;8.059047740936279
65;0.5003;8.053922401046753;0.5;8.05904780960083
66;0.50005;8.057890424346924;0.5;8.059047775268555
67;0.50025;8.054701943206787;0.5;8.059047748565673
68;0.5;8.058740260314941;0.5;8.059047748565673
69;0.50055;8.049910444259643;0.5;8.059047756195069
70;0.5007;8.04751029663086;0.5;8.059047752380371
71;0.5003;8.05387847442627;0.5;8.059047744750977
72;0.49985;8.06107890510559;0.5;8.059047756195069
73;0.50015;8.056225897216796;0.5;8.059047748565673
74;0.5;8.0587051071167;0.5;8.059047771453857
75;0.5002;8.055551763153076;0.5;8.059047729492187
76;0.5007;8.04751029624939;0.5;8.059047695159911
77;0.5001;8.057075731277466;0.5;8.059047729492187
78;0.4994;8.068305688476563;0.5;8.059047775268555
79;0.49945;8.06759642906189;0.5;8.059047775268555
80;0.50045;8.051548609924316;0.5;8.059047771453857
81;0.5003;8.053860889816285;0.5;8.059047779083253
82;0.49985;8.061034972000122;0.5;8.059047744750977
83;0.49945;8.067605194091797;0.5;8.059047748565673
84;0.4998;8.061902381515504;0.5;8.059047737121581
85;0.5002;8.055516644668579;0.5;8.059047721862793
86;0.50045;8.051478313446045;0.5;8.059047752380371
87;0.5006;8.04913090019226;0.5;8.059047721862793
88;0.49995;8.059493442916871;0.5;8.059047744750977
89;0.5001;8.057084520721435;0.5;8.059047740936279
90;0.4999;8.060281770324707;0.5;8.059047805786133
91;0.50055;8.049954372406006;0.5;8.059047725677491
92;0.4999;8.060325705718995;0.5;8.059047756195069
93;0.4993;8.06995263557434;0.5;8.059047725677491
94;0.50015;8.056304975891113;0.5;8.059047721862793
95;0.5008;8.045889707565308;0.5;8.059047733306885
96;0.49955;8.065949467468261;0.5;8.059047729492187
97;0.5;8.058731472015381;0.5;8.059047710418701
98;0.5005;8.050689999771118;0.5;8.059047779083253
99;0.4993;8.06996142578125;0.5;8.059047756195069
